IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.147.101.117,2052,80,FALSE,AMS,Europe,Amsterdam,209,0
34.147.101.117,2086,80,FALSE,AMS,Europe,Amsterdam,209,0
34.147.82.194,2053,80,FALSE,AMS,Europe,Amsterdam,209,0
34.175.7.231,2082,80,FALSE,MAD,Europe,Madrid,209,0
35.187.41.171,2087,80,FALSE,CDG,Europe,Paris,210,0
34.175.133.251,2053,80,FALSE,MAD,Europe,Madrid,210,0
34.147.82.194,2053,80,FALSE,AMS,Europe,Amsterdam,210,0
34.175.133.251,2095,80,FALSE,MAD,Europe,Madrid,211,0
34.175.95.58,2082,80,FALSE,MAD,Europe,Madrid,211,0
34.175.95.58,2053,80,FALSE,MAD,Europe,Madrid,211,0
34.175.133.251,2052,80,FALSE,MAD,Europe,Madrid,212,0
34.175.161.245,2086,80,FALSE,MAD,Europe,Madrid,212,0
35.202.158.120,443,443,TRUE,ORD,North America,Chicago,212,0
34.175.244.157,2087,80,FALSE,MAD,Europe,Madrid,213,0
34.175.143.15,2095,80,FALSE,MAD,Europe,Madrid,217,0
34.74.184.70,80,80,FALSE,ATL,North America,Atlanta,218,0
34.74.184.70,80,80,FALSE,ATL,North America,Atlanta,218,0
34.74.105.17,80,8080,FALSE,ATL,North America,Atlanta,218,0
34.74.105.17,80,8080,FALSE,ATL,North America,Atlanta,218,0
34.74.184.70,80,80,FALSE,ATL,North America,Atlanta,218,0
34.74.105.17,80,8080,FALSE,ATL,North America,Atlanta,219,0
35.231.179.43,80,80,FALSE,ATL,North America,Atlanta,219,0
34.74.105.17,80,8080,FALSE,ATL,North America,Atlanta,219,0
35.196.17.46,80,80,FALSE,ATL,North America,Atlanta,219,0
34.175.95.58,2096,80,FALSE,MAD,Europe,Madrid,221,0
34.74.184.70,80,80,FALSE,ATL,North America,Atlanta,223,0
34.110.234.120,80,80,FALSE,SIN,Asia Pacific,Singapore,231,0
34.89.159.1,443,443,TRUE,FRA,Europe,Frankfurt,253,0
34.89.152.161,443,443,TRUE,FRA,Europe,Frankfurt,258,0
34.32.236.208,443,443,TRUE,FRA,Europe,Frankfurt,258,0
34.32.196.236,443,443,TRUE,FRA,Europe,Frankfurt,259,0
34.32.212.167,443,443,TRUE,FRA,Europe,Frankfurt,265,0
34.32.250.210,443,443,TRUE,FRA,Europe,Frankfurt,268,0
34.91.67.64,443,443,TRUE,FRA,Europe,Frankfurt,268,0
34.32.207.31,443,443,TRUE,FRA,Europe,Frankfurt,275,0
34.159.33.181,443,443,TRUE,FRA,Europe,Frankfurt,288,0
34.154.154.29,443,443,TRUE,FRA,Europe,Frankfurt,316,0
34.32.181.239,443,443,TRUE,FRA,Europe,Frankfurt,320,0
34.154.211.195,443,443,TRUE,FRA,Europe,Frankfurt,323,0
34.90.140.37,443,443,TRUE,FRA,Europe,Frankfurt,324,0
34.89.145.14,443,443,TRUE,FRA,Europe,Frankfurt,388,0
34.145.66.39,8080,8080,FALSE,BOM,Asia Pacific,Mumbai,407,0
34.145.66.39,8080,8080,FALSE,BOM,Asia Pacific,Mumbai,407,0
34.118.61.68,443,443,TRUE,FRA,Europe,Frankfurt,420,0
