IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
52.65.52.144,2053,80,FALSE,SYD,Oceania,Sydney,93,0
54.79.208.59,2052,80,FALSE,SYD,Oceania,Sydney,93,0
13.236.104.165,2095,80,FALSE,SYD,Oceania,Sydney,93,0
52.65.52.144,2096,80,FALSE,SYD,Oceania,Sydney,93,0
54.79.197.209,2095,80,FALSE,SYD,Oceania,Sydney,93,0
13.236.104.165,2096,80,FALSE,SYD,Oceania,Sydney,93,0
52.64.153.64,2095,80,FALSE,SYD,Oceania,Sydney,93,0
13.237.94.188,2052,80,FALSE,SYD,Oceania,Sydney,93,0
13.238.235.196,2052,80,FALSE,SYD,Oceania,Sydney,93,0
13.54.173.154,2082,80,FALSE,SYD,Oceania,Sydney,93,0
13.237.223.44,2052,80,FALSE,SYD,Oceania,Sydney,93,0
52.65.99.165,2052,80,FALSE,SYD,Oceania,Sydney,93,0
13.55.238.1,2083,80,FALSE,SYD,Oceania,Sydney,93,0
13.55.59.224,2082,80,FALSE,SYD,Oceania,Sydney,93,0
13.55.238.1,2087,80,FALSE,SYD,Oceania,Sydney,93,0
13.55.238.1,2052,80,FALSE,SYD,Oceania,Sydney,93,0
13.55.59.224,2083,80,FALSE,SYD,Oceania,Sydney,93,0
13.237.94.188,2087,80,FALSE,SYD,Oceania,Sydney,93,0
13.54.173.154,2083,80,FALSE,SYD,Oceania,Sydney,93,0
13.54.173.154,2086,80,FALSE,SYD,Oceania,Sydney,93,0
54.79.129.232,2087,80,FALSE,SYD,Oceania,Sydney,93,0
54.79.197.209,2087,80,FALSE,SYD,Oceania,Sydney,93,0
52.64.153.64,2052,80,FALSE,SYD,Oceania,Sydney,93,0
54.79.129.232,2096,80,FALSE,SYD,Oceania,Sydney,93,0
13.236.104.165,2087,80,FALSE,SYD,Oceania,Sydney,93,0
13.237.94.188,2086,80,FALSE,SYD,Oceania,Sydney,93,0
13.54.173.154,2095,80,FALSE,SYD,Oceania,Sydney,93,0
54.79.197.209,2053,80,FALSE,SYD,Oceania,Sydney,93,0
13.238.235.196,2086,80,FALSE,SYD,Oceania,Sydney,93,0
13.54.173.154,2087,80,FALSE,SYD,Oceania,Sydney,93,0
54.79.129.232,2082,80,FALSE,SYD,Oceania,Sydney,93,0
54.79.129.232,2053,80,FALSE,SYD,Oceania,Sydney,93,0
13.211.0.227,2053,80,FALSE,SYD,Oceania,Sydney,93,0
13.55.238.1,2096,80,FALSE,SYD,Oceania,Sydney,93,0
13.55.59.224,2096,80,FALSE,SYD,Oceania,Sydney,94,0
13.55.59.224,2087,80,FALSE,SYD,Oceania,Sydney,94,0
13.55.238.1,2095,80,FALSE,SYD,Oceania,Sydney,94,0
54.79.197.209,2083,80,FALSE,SYD,Oceania,Sydney,94,0
54.79.129.232,2052,80,FALSE,SYD,Oceania,Sydney,94,0
52.65.184.139,2053,80,FALSE,SYD,Oceania,Sydney,94,0
52.65.99.165,2082,80,FALSE,SYD,Oceania,Sydney,94,0
13.55.237.163,2053,80,FALSE,SYD,Oceania,Sydney,94,0
52.65.99.165,2086,80,FALSE,SYD,Oceania,Sydney,94,0
13.238.235.196,2095,80,FALSE,SYD,Oceania,Sydney,94,0
52.65.99.165,2095,80,FALSE,SYD,Oceania,Sydney,94,0
52.65.184.139,2082,80,FALSE,SYD,Oceania,Sydney,94,0
54.79.197.209,2082,80,FALSE,SYD,Oceania,Sydney,94,0
13.55.59.224,2053,80,FALSE,SYD,Oceania,Sydney,94,0
52.65.184.139,2096,80,FALSE,SYD,Oceania,Sydney,94,0
13.55.238.1,2053,80,FALSE,SYD,Oceania,Sydney,94,0
13.211.0.227,2082,80,FALSE,SYD,Oceania,Sydney,94,0
13.237.94.188,2082,80,FALSE,SYD,Oceania,Sydney,94,0
52.65.99.165,2096,80,FALSE,SYD,Oceania,Sydney,94,0
13.54.81.122,2052,80,FALSE,SYD,Oceania,Sydney,95,0
52.64.153.64,2053,80,FALSE,SYD,Oceania,Sydney,95,0
13.211.0.227,2052,80,FALSE,SYD,Oceania,Sydney,95,0
52.64.153.64,2083,80,FALSE,SYD,Oceania,Sydney,95,0
52.65.52.144,2052,80,FALSE,SYD,Oceania,Sydney,95,0
13.55.59.224,2095,80,FALSE,SYD,Oceania,Sydney,95,0
13.236.104.165,2082,80,FALSE,SYD,Oceania,Sydney,96,0
13.211.0.227,2083,80,FALSE,SYD,Oceania,Sydney,96,0
13.211.0.227,2086,80,FALSE,SYD,Oceania,Sydney,97,0
54.79.129.232,2095,80,FALSE,SYD,Oceania,Sydney,97,0
13.211.0.227,2087,80,FALSE,SYD,Oceania,Sydney,97,0
13.54.173.154,2053,80,FALSE,SYD,Oceania,Sydney,97,0
13.211.0.227,2096,80,FALSE,SYD,Oceania,Sydney,105,0
13.55.59.224,2052,80,FALSE,SYD,Oceania,Sydney,105,0
52.65.99.165,2053,80,FALSE,SYD,Oceania,Sydney,112,0
13.211.0.227,2095,80,FALSE,SYD,Oceania,Sydney,121,0
13.236.104.165,2053,80,FALSE,SYD,Oceania,Sydney,129,0
15.160.15.101,2086,80,FALSE,MXP,Europe,Milan,183,0
15.160.15.255,2082,80,FALSE,MXP,Europe,Milan,185,0
15.160.14.66,2086,80,FALSE,MXP,Europe,Milan,192,0
15.160.15.255,2095,80,FALSE,MXP,Europe,Milan,192,0
15.160.15.101,2087,80,FALSE,MXP,Europe,Milan,197,0
13.36.24.111,2052,80,FALSE,CDG,Europe,Paris,242,0
13.36.63.124,2052,80,FALSE,CDG,Europe,Paris,243,0
13.36.24.111,2095,80,FALSE,CDG,Europe,Paris,243,0
13.36.63.124,2083,80,FALSE,CDG,Europe,Paris,243,0
13.37.165.175,2053,80,FALSE,CDG,Europe,Paris,243,0
15.160.15.101,2083,80,FALSE,MXP,Europe,Milan,247,0
15.160.15.255,2087,80,FALSE,MXP,Europe,Milan,247,0
15.160.80.28,2086,80,FALSE,MXP,Europe,Milan,248,0
15.160.15.255,2052,80,FALSE,MXP,Europe,Milan,248,0
15.160.15.101,2082,80,FALSE,MXP,Europe,Milan,248,0
15.160.15.255,2086,80,FALSE,MXP,Europe,Milan,248,0
15.160.19.149,2052,80,FALSE,MXP,Europe,Milan,248,0
15.160.80.28,2082,80,FALSE,MXP,Europe,Milan,249,0
15.160.19.149,2096,80,FALSE,MXP,Europe,Milan,249,0
13.36.162.145,2095,80,FALSE,CDG,Europe,Paris,251,0
13.36.162.145,2086,80,FALSE,CDG,Europe,Paris,251,0
13.36.162.145,2096,80,FALSE,CDG,Europe,Paris,251,0
13.36.162.145,2087,80,FALSE,CDG,Europe,Paris,251,0
13.36.24.111,2086,80,FALSE,CDG,Europe,Paris,251,0
18.175.61.194,2087,80,FALSE,ORD,North America,Chicago,251,0
13.36.63.124,2082,80,FALSE,CDG,Europe,Paris,252,0
52.18.205.36,2087,80,FALSE,DUB,Europe,Dublin,252,0
13.36.63.124,2096,80,FALSE,CDG,Europe,Paris,252,0
13.41.230.196,8080,443,TRUE,LHR,Europe,London,252,0
13.43.88.88,2096,443,TRUE,LHR,Europe,London,253,0
52.18.205.36,2082,80,FALSE,DUB,Europe,Dublin,254,0
52.60.241.195,2087,80,FALSE,YUL,North America,Montréal,255,0
15.160.14.66,2095,80,FALSE,MXP,Europe,Milan,256,0
15.160.80.28,2083,80,FALSE,MXP,Europe,Milan,256,0
15.160.19.149,2082,80,FALSE,MXP,Europe,Milan,257,0
52.60.241.195,2052,80,FALSE,YUL,North America,Montréal,257,0
15.160.19.149,2095,80,FALSE,MXP,Europe,Milan,257,0
15.161.215.18,2096,80,FALSE,MXP,Europe,Milan,257,0
15.161.40.69,2096,80,FALSE,MXP,Europe,Milan,257,0
15.160.80.28,2052,80,FALSE,MXP,Europe,Milan,257,0
15.160.15.255,2053,80,FALSE,MXP,Europe,Milan,262,0
99.80.88.225,80,443,TRUE,DUB,Europe,Dublin,262,0
54.220.41.196,2096,443,TRUE,DUB,Europe,Dublin,262,0
15.160.14.66,2087,80,FALSE,MXP,Europe,Milan,263,0
52.60.241.195,2086,80,FALSE,YUL,North America,Montréal,265,0
52.60.241.195,2053,80,FALSE,YUL,North America,Montréal,266,0
13.53.47.110,2095,80,FALSE,ARN,Europe,Stockholm,268,0
13.53.47.110,2082,80,FALSE,ARN,Europe,Stockholm,268,0
52.60.241.195,2082,80,FALSE,YUL,North America,Montréal,272,0
15.160.14.66,2052,80,FALSE,MXP,Europe,Milan,272,0
52.60.241.195,2096,80,FALSE,YUL,North America,Montréal,273,0
15.160.15.101,2052,80,FALSE,MXP,Europe,Milan,275,0
13.53.47.110,2052,80,FALSE,ARN,Europe,Stockholm,276,0
13.53.47.110,2083,80,FALSE,ARN,Europe,Stockholm,276,0
13.53.47.110,2086,80,FALSE,ARN,Europe,Stockholm,276,0
13.53.47.110,2096,80,FALSE,ARN,Europe,Stockholm,277,0
52.60.241.195,2083,80,FALSE,YUL,North America,Montréal,279,0
52.60.241.195,2095,80,FALSE,YUL,North America,Montréal,280,0
13.36.162.145,2052,80,FALSE,CDG,Europe,Paris,313,0
13.36.253.240,2086,80,FALSE,CDG,Europe,Paris,313,0
13.42.76.114,8443,443,TRUE,LHR,Europe,London,313,0
18.175.61.194,2083,80,FALSE,ORD,North America,Chicago,314,0
15.160.15.101,2096,80,FALSE,MXP,Europe,Milan,321,0
15.160.19.149,2083,80,FALSE,MXP,Europe,Milan,321,0
13.36.162.145,2082,80,FALSE,CDG,Europe,Paris,322,0
13.36.162.145,2083,80,FALSE,CDG,Europe,Paris,322,0
13.36.253.240,2053,80,FALSE,CDG,Europe,Paris,323,0
13.36.253.240,2052,80,FALSE,CDG,Europe,Paris,323,0
13.36.162.145,2053,80,FALSE,CDG,Europe,Paris,323,0
13.42.158.50,2095,443,TRUE,LHR,Europe,London,324,0
13.43.93.40,2053,443,TRUE,LHR,Europe,London,324,0
15.160.14.66,2096,80,FALSE,MXP,Europe,Milan,327,0
54.220.41.196,2053,443,TRUE,DUB,Europe,Dublin,328,0
15.160.19.149,2086,80,FALSE,MXP,Europe,Milan,328,0
15.161.74.249,2083,80,FALSE,MXP,Europe,Milan,328,0
15.160.80.28,2096,80,FALSE,MXP,Europe,Milan,328,0
52.18.205.36,2095,80,FALSE,DUB,Europe,Dublin,331,0
52.18.205.36,2053,80,FALSE,DUB,Europe,Dublin,332,0
52.18.205.36,2096,80,FALSE,DUB,Europe,Dublin,333,0
35.156.255.225,443,443,TRUE,FRA,Europe,Frankfurt,334,0
13.53.47.110,2087,80,FALSE,ARN,Europe,Stockholm,338,0
13.53.47.110,2053,80,FALSE,ARN,Europe,Stockholm,338,0
13.53.37.209,80,80,FALSE,ARN,Europe,Stockholm,348,0
13.246.85.121,2082,80,FALSE,CPT,Africa,Cape Town,381,0
13.245.152.196,2082,80,FALSE,CPT,Africa,Cape Town,382,0
13.245.152.196,2053,80,FALSE,CPT,Africa,Cape Town,382,0
13.245.152.196,2086,80,FALSE,CPT,Africa,Cape Town,383,0
13.245.152.196,2095,80,FALSE,CPT,Africa,Cape Town,386,0
13.246.85.121,2053,80,FALSE,CPT,Africa,Cape Town,387,0
13.246.85.121,2096,80,FALSE,CPT,Africa,Cape Town,390,0
13.246.85.121,2086,80,FALSE,CPT,Africa,Cape Town,391,0
13.246.85.121,2095,80,FALSE,CPT,Africa,Cape Town,394,0
13.246.85.121,2083,80,FALSE,CPT,Africa,Cape Town,447,0
13.246.85.121,2052,80,FALSE,CPT,Africa,Cape Town,452,0
13.245.152.196,2096,80,FALSE,CPT,Africa,Cape Town,466,0
